date,sales
2013-01-19,5774
2013-01-20,2253
2013-01-21,11124
2013-01-22,6087
2013-01-23,5145
2013-01-24,2210
2013-01-25,8422
2013-01-26,1177
2013-01-27,1291
2013-01-28,12538
2013-01-29,9020
2013-01-30,6867
2013-01-31,7800
2013-02-01,3303
2013-02-02,11259
2013-02-03,1204
2013-02-04,1414
2013-02-05,18218
2013-02-06,8926
2013-02-07,8287
2013-02-08,9334
2013-02-09,5124
2013-02-10,997
2013-02-11,8822
2013-02-12,6534
2013-02-13,3512
2013-02-14,5786
2013-02-15,3597
2013-02-16,3845
2013-02-18,12447
2013-02-19,7331
2013-02-20,4249
2013-02-21,4172
2013-02-22,8366
2013-02-23,1928
2013-02-25,5847
2013-02-26,5316
2013-02-27,15506
2013-02-28,1923
2013-03-01,6597
2013-03-02,7286
2013-03-03,445
2013-03-04,15415
2013-03-05,8916
2013-03-06,6952
2013-03-07,3655
2013-03-08,9789
2013-03-09,2424
2013-03-10,636
2013-03-11,18504
2013-03-12,5184
2013-03-13,11327
2013-03-14,11488
2013-03-15,6027
2013-03-16,3828
2013-03-17,35
2013-03-18,7050
2013-03-19,8509
2013-03-20,8829
2013-03-21,4665
2013-03-22,2699
2013-03-23,9345
2013-03-24,193
2013-03-25,6930
2013-03-26,3762
2013-03-27,8678
2013-03-28,3556
2013-03-29,10830
2013-03-30,4670
2013-03-31,367
2013-04-01,5680
2013-04-02,10219
2013-04-03,5293
2013-04-04,3972
2013-04-05,8886
2013-04-06,3029
2013-04-07,2498
2013-04-08,7429
2013-04-09,10100
2013-04-10,6464
2013-04-11,3486
2013-04-12,8453
2013-04-13,3540
2013-04-14,1176
2013-04-15,6554
2013-04-16,7756
2013-04-17,13407
2013-04-18,7220
2013-04-19,5935
2013-04-20,5388
2013-04-22,2691
2013-04-23,8134
2013-04-24,3658
2013-04-25,9209
2013-04-26,10915
2013-04-27,2222
2013-04-29,3899
2013-04-30,10622
2013-05-01,11490
2013-05-02,1995
2013-05-03,10908
2013-05-04,7506
2013-05-05,1606
2013-05-06,6347
2013-05-07,9007
2013-05-08,11565
2013-05-09,6237
2013-05-10,8156
2013-05-11,6438
2013-05-12,437
2013-05-13,3522
2013-05-14,10355
2013-05-15,8747
2013-05-16,14930
2013-05-17,8984
2013-05-18,2136
2013-05-19,833
2013-05-20,4217
2013-05-21,10405
2013-05-22,9610
2013-05-23,4887
2013-05-24,22701
2013-05-25,3840
2013-05-26,1365
2013-05-27,11795
2013-05-28,17001
2013-05-29,14582
2013-05-30,12985
2013-05-31,15938
2013-06-01,8286
2013-06-02,1712
2013-06-03,11975
2013-06-04,18446
2013-06-05,19052
2013-06-06,10820
2013-06-07,20570
2013-06-08,8767
2013-06-09,450
2013-06-10,21924
2013-06-11,23932
2013-06-12,15276
2013-06-13,18579
2013-06-14,17452
2013-06-15,13957
2013-06-16,1241
2013-06-17,20471
2013-06-18,20793
2013-06-19,10298
2013-06-20,10391
2013-06-21,11389
2013-06-22,3666
2013-06-23,2962
2013-06-24,24121
2013-06-25,22754
2013-06-26,12470
2013-06-27,17976
2013-06-28,16550
2013-06-29,5628
2013-06-30,4605
2013-07-01,9507
2013-07-02,10954
2013-07-03,9432
2013-07-04,6050
2013-07-05,5128
2013-07-06,5713
2013-07-07,52
2013-07-08,16837
2013-07-09,5903
2013-07-10,10177
2013-07-11,11004
2013-07-12,10503
2013-07-13,2028
2013-07-14,2440
2013-07-15,10981
2013-07-16,10727
2013-07-17,5670
2013-07-18,4891
2013-07-19,7929
2013-07-20,7854
2013-07-21,90
2013-07-22,14719
2013-07-23,8699
2013-07-24,4492
2013-07-25,15506
2013-07-26,11300
2013-07-27,979
2013-07-28,717
2013-07-29,7272
2013-07-30,5762
2013-07-31,6624
2013-08-01,15741
2013-08-02,9885
2013-08-03,4221
2013-08-04,3409
2013-08-05,6756
2013-08-06,12374
2013-08-07,12674
2013-08-08,6511
2013-08-09,9095
2013-08-10,4810
2013-08-11,944
2013-08-12,18111
2013-08-13,15314
2013-08-14,9337
2013-08-15,18850
2013-08-16,19201
2013-08-17,3206
2013-08-18,24
2013-08-19,13952
2013-08-20,11056
2013-08-21,14647
2013-08-22,20914
2013-08-23,10335
2013-08-24,15629
2013-08-25,375
2013-08-26,9248
2013-08-27,21352
2013-08-28,11950
2013-08-29,9015
2013-08-30,8131
2013-08-31,9424
2013-09-01,365
2013-09-02,12376
2013-09-03,22434
2013-09-04,14181
2013-09-05,17986
2013-09-06,14408
2013-09-07,2432
2013-09-08,1058
2013-09-09,15471
2013-09-10,16155
2013-09-11,12805
2013-09-12,17036
2013-09-13,12952
2013-09-14,20744
2013-09-15,1842
2013-09-16,20816
2013-09-17,16185
2013-09-18,6126
2013-09-19,21464
2013-09-20,23851
2013-09-21,14393
2013-09-22,164
2013-09-23,4633
2013-09-24,14082
2013-09-25,18284
2013-09-26,17361
2013-09-27,11987
2013-09-28,7037
2013-09-29,998
2013-09-30,17000
2013-10-01,7365
2013-10-02,11095
2013-10-03,26326
2013-10-04,12946
2013-10-05,10811
2013-10-06,73
2013-10-07,7627
2013-10-08,9903
2013-10-09,14510
2013-10-10,5394
2013-10-11,11739
2013-10-12,4576
2013-10-13,1156
2013-10-14,9139
2013-10-15,17730
2013-10-16,14030
2013-10-17,14107
2013-10-18,12940
2013-10-19,962
2013-10-20,412
2013-10-21,10369
2013-10-22,14937
2013-10-23,15582
2013-10-24,3728
2013-10-25,7383
2013-10-26,2370
2013-10-27,1591
2013-10-28,8589
2013-10-29,12816
2013-10-30,13944
2013-10-31,9273
2013-11-01,20912
2013-11-02,3216
2013-11-04,13805
2013-11-05,15751
2013-11-06,16334
2013-11-07,8290
2013-11-08,13704
2013-11-09,10235
2013-11-10,480
2013-11-11,19650
2013-11-12,8936
2013-11-13,19744
2013-11-14,10065
2013-11-15,20258
2013-11-16,7729
2013-11-17,3740
2013-11-18,12479
2013-11-19,24525
2013-11-20,5284
2013-11-21,9797
2013-11-22,15233
2013-11-23,6811
2013-11-24,3372
2013-11-25,16206
2013-11-26,20901
2013-11-27,14318
2013-11-28,29928
2013-11-29,15183
2013-11-30,7110
2013-12-01,1365
2013-12-02,15643
2013-12-03,19734
2013-12-04,17448
2013-12-05,6785
2013-12-06,20783
2013-12-07,7410
2013-12-08,383
2013-12-09,12885
2013-12-10,16261
2013-12-11,18100
2013-12-12,18006
2013-12-13,9431
2013-12-14,4575
2013-12-15,1385
2013-12-16,23020
2013-12-17,13432
2013-12-18,33937
2013-12-19,15153
2013-12-20,22233
2013-12-21,3498
2013-12-22,2334
2013-12-23,15339
2013-12-24,15831
2013-12-25,11340
2013-12-26,36434
2013-12-27,10282
2013-12-28,3553
2013-12-29,426
2013-12-30,14291
2013-12-31,14179
2014-01-01,3613
2014-01-02,4169
2014-01-03,11326
2014-01-04,4705
2014-01-05,427
2014-01-06,10841
2014-01-07,6202
2014-01-08,13412
2014-01-09,9743
2014-01-10,4202
2014-01-11,4428
2014-01-12,75
2014-01-13,5360
2014-01-14,17296
2014-01-15,6002
2014-01-16,11340
2014-01-17,14417
2014-01-18,9694
2014-01-19,194
2014-01-20,11622
2014-01-21,8762
2014-01-22,12946
2014-01-23,6713
2014-01-24,9326
2014-01-25,7099
2014-01-26,2073
2014-01-27,5228
2014-01-28,8558
2014-01-29,11460
2014-01-30,7594
2014-01-31,12440
2014-02-01,867
2014-02-03,4501
2014-02-04,8191
2014-02-05,6321
2014-02-06,7087
2014-02-07,11014
2014-02-08,2331
2014-02-09,128
2014-02-10,11902
2014-02-11,12392
2014-02-12,11211
2014-02-13,9615
2014-02-14,11483
2014-02-15,2606
2014-02-16,412
2014-02-17,10510
2014-02-18,9960
2014-02-19,6749
2014-02-20,6910
2014-02-21,8020
2014-02-22,2685
2014-02-23,755
2014-02-24,8064
2014-02-25,6741
2014-02-26,4576
2014-02-27,10046
2014-02-28,9771
2014-03-01,2914
2014-03-02,613
2014-03-03,4706
2014-03-04,11929
2014-03-05,6781
2014-03-06,7213
2014-03-07,4781
2014-03-08,3178
2014-03-09,882
2014-03-10,5362
2014-03-11,12584
2014-03-12,9030
2014-03-13,6263
2014-03-14,14091
2014-03-15,9024
2014-03-16,69
2014-03-17,20494
2014-03-18,11184
2014-03-19,12634
2014-03-20,9522
2014-03-21,9055
2014-03-22,8993
2014-03-23,240
2014-03-24,23866
2014-03-25,8011
2014-03-26,17632
2014-03-27,15204
2014-03-28,10962
2014-03-29,1732
2014-03-30,252
2014-03-31,13909
2014-04-01,12109
2014-04-02,14935
2014-04-03,9185
2014-04-04,2805
2014-04-05,1767
2014-04-06,1151
2014-04-07,11076
2014-04-08,7563
2014-04-09,16027
2014-04-10,8512
2014-04-11,8920
2014-04-12,5151
2014-04-13,1890
2014-04-14,12468
2014-04-15,11627
2014-04-16,15247
2014-04-17,11521
2014-04-18,8720
2014-04-19,1881
2014-04-20,1075
2014-04-21,13646
2014-04-22,7247
2014-04-23,7784
2014-04-24,10634
2014-04-25,5873
2014-04-26,5622
2014-04-27,1084
2014-04-28,13017
2014-04-29,4530
2014-04-30,9714
2014-05-01,10080
2014-05-02,10096
2014-05-03,2957
2014-05-04,2776
2014-05-05,7531
2014-05-06,3320
2014-05-07,14739
2014-05-08,22266
2014-05-09,14908
2014-05-10,8213
2014-05-11,808
2014-05-12,6459
2014-05-13,7719
2014-05-14,4904
2014-05-15,14366
2014-05-16,21191
2014-05-17,6514
2014-05-18,161
2014-05-19,16822
2014-05-20,12208
2014-05-21,8808
2014-05-22,8317
2014-05-23,8352
2014-05-24,8061
2014-05-25,1212
2014-05-26,10349
2014-05-27,13567
2014-05-28,12133
2014-05-29,16612
2014-05-30,6475
2014-05-31,6480
2014-06-01,2039
2014-06-02,15739
2014-06-03,17698
2014-06-04,17541
2014-06-05,11197
2014-06-06,14222
2014-06-07,4528
2014-06-08,2846
2014-06-09,20003
2014-06-10,18325
2014-06-11,17145
2014-06-12,11547
2014-06-13,12599
2014-06-14,7437
2014-06-15,1383
2014-06-16,17993
2014-06-17,19979
2014-06-18,32195
2014-06-19,12525
2014-06-20,12021
2014-06-21,6230
2014-06-22,1219
2014-06-23,16705
2014-06-24,27468
2014-06-25,13235
2014-06-26,21340
2014-06-27,17898
2014-06-28,6939
2014-06-29,2438
2014-06-30,19409
